0, 25.2
450, 20.8
600, 20.4
900, 20.0
1260, 19.0
1560, 17.9
2010, 16.2
2400, 15.1
3000, 14.1
3500, 11.4
5400, 10.1
6600, 10.4
7800, 8.8
9000, 8.5
