U_s;U_E
12.1;0.52
20.8;0.86
30.2;1.34
40.5;1.66
50.4;1.92
60.0;2.07
70.6;2.22
80.0;2.27
90.2;2.29
104.7;2.36
110.6;2.35
120.5;2.37
130.5;2.33
140.3;2.35
160.2;2.34
180.3;2.31
200.2;2.30
252.1;2.27
304.8;2.24
