U_s;U_E
9.8;0.54
21.3;1.11
30.4;1.63
41.6;2.19
51.3;2.59
61.5;2.98
71.1;3.22
80.7;3.39
90.2;3.48
100.4;3.54
112.5;3.64
121.9;3.66
130.8;3.67
140.2;3.68
160.5;3.66
180.6;3.65
200.0;3.64
252.7;3.60
301.3;3.64
